institution,pslf_class,evidence,ein,propublica_match,subsec_code,ntee_code,state,original_class
Christiana Care,pslf_eligible_501c3,ProPublica match: Christian Care (501c3),381367326,Christian Care,3.0,E90Z,DE,ambiguous
St Francis Hospital,pslf_eligible_501c3,ProPublica match: St Francis Church (501c3),930546642,St Francis Church,3.0,,DE,ambiguous
Childrens National Med Ctr,pslf_eligible_501c3,ProPublica match: National Childrens Museum (501c3),237423491,National Childrens Museum,3.0,,DC,pslf_friendly
George Washington Univ,pslf_eligible_501c3,ProPublica match: Emanuel A Beck Charitable Tr Fbo Weta Tv And George Washingt (501c3),526945807,Emanuel A Beck Charitable Tr Fbo Weta Tv And George Washington Univ,3.0,A11,DC,ambiguous
Howard Univ Hosp,pslf_eligible_501c3,ProPublica match: Howard University (501c3),530204707,Howard University,3.0,B430,DC,pslf_friendly
MedStar Georgetown Univ Hosp,pslf_eligible_501c3,ProPublica match: Medstar Georgetown Medical Center Inc (501c3),522218584,Medstar Georgetown Medical Center Inc,3.0,E220,DC,pslf_friendly
MedStar National Rehab Hosp,no_propublica_match,no ProPublica result,,,,,DC,ambiguous
MedStar Washington Hosp Ctr,no_propublica_match,no ProPublica result,,,,,DC,ambiguous
St Elizabeths Hospital/DBH,no_propublica_match,no ProPublica result,,,,,DC,ambiguous
Aventura Hospital,pslf_eligible_501c3,ProPublica match: Aventura Reads (501c3),332189241,Aventura Reads,3.0,B92,FL,ambiguous
BayCare Health System,pslf_eligible_501c3,ProPublica match: Baycare Pasco Inc (501c3),832099849,Baycare Pasco Inc,3.0,E20,FL,pslf_friendly
Bayfront Med Ctr,pslf_eligible_501c3,ProPublica match: Bayfront Nato Inc (501c3),256085619,Bayfront Nato Inc,3.0,S200,FL,pslf_friendly
Borinquen Health Care Ctr,no_propublica_match,no ProPublica result,,,,,FL,ambiguous
Broward Health Med Ctr,pslf_eligible_501c3,ProPublica match: Broward Behavorial Health Coalition Inc (501c3),453675836,Broward Behavorial Health Coalition Inc,3.0,F99,FL,pslf_friendly
Centerstone,pslf_eligible_501c3,ProPublica match: Centerstone Unlimited (501c3),264790318,Centerstone Unlimited,3.0,L21,FL,ambiguous
Citrus Health Network,pslf_eligible_501c3,ProPublica match: Citrus Health Network Inc (501c3),591865751,Citrus Health Network Inc,3.0,,FL,ambiguous
FAU-Schmidt COM,no_propublica_match,no ProPublica result,,,,,FL,ambiguous
HCA Florida JFK Hosp-U Miami,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/JFK Med Center-UMiami,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Blake,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Brandon,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Citrus,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Largo,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Oak Hill,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Sarasota,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-St Pete,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani GME-Trinity,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani-Bayonet Pt,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
HCA Healthcare/USF Morsani-Northside,pslf_ineligible_for_profit,for-profit chain: matches ['HCA '],,,,,FL,pslf_hostile
Halifax Med Ctr,pslf_eligible_501c3,ProPublica match: Halifax Fire Department (501c3),251764395,Halifax Fire Department,3.0,M24,FL,pslf_friendly
Jessie Trice Comm Hlth Sys,no_propublica_match,no ProPublica result,,,,,FL,ambiguous
Johns Hopkins All Childrens Hosp,pslf_eligible_501c3,ProPublica match: Johns Hopkins All Childrens Hospital Inc (501c3),590683252,Johns Hopkins All Childrens Hospital Inc,3.0,E240,FL,pslf_friendly
Kendall Regional Med Ctr,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
Keralty Hospital,pslf_eligible_501c3,ProPublica match: Keralty Compassionate Communities Inc (501c3),881544014,Keralty Compassionate Communities Inc,3.0,E60,FL,ambiguous
Lakeland Regional Health,pslf_eligible_501c3,ProPublica match: Lakeland Regional Health Systems Inc (501c3),592650464,Lakeland Regional Health Systems Inc,3.0,E210,FL,ambiguous
Lakeside Med Ctr,pslf_eligible_501c3,ProPublica match: Lakeside Association (501c3),344427938,Lakeside Association,3.0,S200,FL,pslf_friendly
Larkin Comm Hosp Palm Springs Campus,no_propublica_match,no ProPublica result,,,,,FL,ambiguous
Larkin Community Hospital,pslf_eligible_501c3,ProPublica match: Larkin Community Center (501c3),43659562,Larkin Community Center,3.0,,FL,ambiguous
Manatee Memorial Hosp,pslf_eligible_501c3,ProPublica match: Manatee Memorial Foundation Inc (501c3),650392921,Manatee Memorial Foundation Inc,3.0,T30,FL,pslf_friendly
Mayo Clinic School of Grad Med Educ,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
Memorial Healthcare System,pslf_eligible_501c3,ProPublica match: Memorial Health System (501c3),934897020,Memorial Health System,3.0,E21,FL,pslf_friendly
Mt Sinai Med Ctr-Miami,pslf_eligible_501c3,ProPublica match: Mt Sinai (501c3),450529118,Mt Sinai,3.0,,FL,pslf_friendly
NCH Healthcare Sys,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
Nemours Childrens Hosp,pslf_eligible_501c3,ProPublica match: The Auxiliary Of Nemours Childrens Hospital Delaware (501c3),222637953,The Auxiliary Of Nemours Childrens Hospital Delaware,3.0,,FL,pslf_friendly
Nicklaus Childrens Hospital-Miami,pslf_eligible_501c3,ProPublica match: Nicklaus Childrens Health Care Foundation Inc (501c3),571154352,Nicklaus Childrens Health Care Foundation Inc,3.0,T21,FL,pslf_friendly
Nova Southeastern University KPCOM,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
Orlando Health,pslf_eligible_501c3,ProPublica match: Orlando Health Inc (501c3),591726273,Orlando Health Inc,3.0,E210,FL,ambiguous
Palm Beach Consortium for GME,no_propublica_match,no ProPublica result,,,,,FL,ambiguous
Palmetto General Hosp,pslf_eligible_501c3,ProPublica match: General Federation Of Womens Clubs Of South Carolina (501c3),570799510,General Federation Of Womens Clubs Of South Carolina,3.0,,FL,ambiguous
Southern Winds Hospital,pslf_eligible_501c3,ProPublica match: Southern Illinois Symphonic Winds (501c3),612216911,Southern Illinois Symphonic Winds,3.0,A6C,FL,ambiguous
St Vincents Med Ctr,pslf_eligible_501c3,ProPublica match: St Vincent (501c3),430653251,St Vincent,3.0,,FL,pslf_friendly
Tallahassee Mem Healthcare,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
U Miami MSOM/Holy Cross,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
U Miami/Jackson Health System,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
Wellington Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,FL,pslf_friendly
West Kendall Baptist Hospital,pslf_eligible_501c3,ProPublica match: West Kendall Baptist Hospital Inc (501c3),522438452,West Kendall Baptist Hospital Inc,3.0,E20,FL,ambiguous
AU-UGA Medical Partnership,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
AdventHealth Redmond,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Atlanta Med Ctr,pslf_eligible_501c3,ProPublica match: Canopy Atlanta (501c3),850694979,Canopy Atlanta,3.0,B99,GA,pslf_friendly
Atrium Health Navicent Med Ctr,no_propublica_match,no ProPublica result,,,,,GA,pslf_friendly
Colquitt Regional Med Ctr,pslf_eligible_501c3,ProPublica match: Colquitt Regional Health Inc (501c3),581729544,Colquitt Regional Health Inc,3.0,,GA,pslf_friendly
Emory Univ SOM,pslf_eligible_501c3,ProPublica match: Christian Medical & Dental Society (501c3),621644504,Christian Medical & Dental Society,3.0,,GA,pslf_friendly
Floyd Med Ctr,pslf_eligible_501c3,ProPublica match: Floyd Future (501c3),465145106,Floyd Future,3.0,S9,GA,pslf_friendly
Gateway Behavioral Hlth Comm Svc,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Hamilton Med Ctr,pslf_eligible_501c3,ProPublica match: Hype Hamilton (501c3),821618415,Hype Hamilton,3.0,J22,GA,pslf_friendly
Houston Healthcare,pslf_eligible_501c3,ProPublica match: Kwekabaw Buddhist Society Of Housto Houston Tx (501c3),861367955,Kwekabaw Buddhist Society Of Housto Houston Tx,3.0,X50,GA,pslf_friendly
Memorial Health Univ Med Ctr,pslf_eligible_501c3,ProPublica match: Indiana University Health Ball Memorial Hospital Inc (501c3),350867958,Indiana University Health Ball Memorial Hospital Inc,3.0,E220,GA,pslf_friendly
Morehouse Sch of Med,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Northside Hospital Gwinnett,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Phoebe Putney Mem Hosp,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Piedmont Athens Regional,pslf_eligible_501c3,ProPublica match: Piedmont Athens Regional Auxiliary (501c3),586221037,Piedmont Athens Regional Auxiliary,3.0,E22I,GA,ambiguous
Piedmont Columbus Regional,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Piedmont Macon Med Ctr,pslf_eligible_501c3,ProPublica match: Piedmont Macon Hospital Inc (501c3),871006981,Piedmont Macon Hospital Inc,3.0,E20,GA,pslf_friendly
St Francis-Emory Healthcare,no_propublica_match,no ProPublica result,,,,,GA,pslf_friendly
WellStar Health System,pslf_eligible_501c3,ProPublica match: Wellstar Foundation Inc (501c3),581627413,Wellstar Foundation Inc,3.0,T30,GA,pslf_friendly
Wellstar Spalding Reg Hosp,no_propublica_match,no ProPublica result,,,,,GA,ambiguous
Hilo Medical Center,pslf_eligible_501c3,ProPublica match: Hilo Storm (501c3),921371287,Hilo Storm,3.0,N65,HI,pslf_friendly
Tripler Army Med Ctr,pslf_eligible_gov,keyword: Army Med,,,,,HI,pslf_friendly
Waianae Coast Comprehensive Health,no_propublica_match,no ProPublica result,,,,,HI,ambiguous
Full Circle Health,pslf_eligible_501c3,ProPublica match: Full Circle Health Inc (501c3),205934739,Full Circle Health Inc,3.0,E20,ID,ambiguous
Kootenai Health,pslf_eligible_501c3,ProPublica match: Kootenai Health Inc (501c3),820380784,Kootenai Health Inc,3.0,E22,ID,ambiguous
Mountain States Institute,pslf_eligible_501c3,ProPublica match: Mountain States Tumor Institute Inc (501c3),820295026,Mountain States Tumor Institute Inc,3.0,E240,ID,pslf_friendly
U Washington Boise,no_propublica_match,no ProPublica result,,,,,ID,pslf_friendly
Advocate Health Care,pslf_eligible_501c3,ProPublica match: Advocare Advocates Who Care Inc (501c3),542155018,Advocare Advocates Who Care Inc,3.0,F33,IL,ambiguous
Amita St Francis Hosp,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Ascension Resurrection,pslf_eligible_501c3,ProPublica match: Resurrection Ascension Catholic Academy (501c3),812756467,Resurrection Ascension Catholic Academy,3.0,,IL,ambiguous
Ascension St Alexius,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Ascension St Francis,pslf_eligible_501c3,ProPublica match: Ascension St Francis Hospital Inc (501c3),390907740,Ascension St Francis Hospital Inc,3.0,E220,IL,ambiguous
Ascension St Joseph,pslf_eligible_501c3,ProPublica match: Ascension Living St Josephs Place (501c3),521835288,Ascension Living St Josephs Place,3.0,,IL,ambiguous
Ascension St Mary,pslf_eligible_501c3,ProPublica match: St Marys Health Inc Dba Ascension (501c3),350869065,St Marys Health Inc Dba Ascension,3.0,E220,IL,ambiguous
Carle Foundation Hosp,pslf_eligible_501c3,ProPublica match: The Carle Foundation (501c3),370673465,The Carle Foundation,3.0,E210,IL,ambiguous
Cook County Health and Hosps Sys,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Franciscan Health Olympia Fields,pslf_eligible_501c3,ProPublica match: Franciscan Health Olympia Fields (501c3),362167869,Franciscan Health Olympia Fields,3.0,,IL,ambiguous
Hinsdale Hospital,pslf_eligible_501c3,ProPublica match: Pflag Hinsdale (501c3),363837850,Pflag Hinsdale,3.0,,IL,ambiguous
Jackson Park Hosp,pslf_eligible_501c3,ProPublica match: Jackson Park Ministries (501c3),562063938,Jackson Park Ministries,3.0,P40,IL,ambiguous
La Grange Mem Hosp,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Lawndale Christian Health Ctr,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Loyola Univ Med Ctr,pslf_eligible_501c3,ProPublica match: Loyola University (501c3),720408946,Loyola University,3.0,B430,IL,pslf_friendly
MacNeal Hospital,pslf_eligible_501c3,ProPublica match: Macneal Foundation (501c3),10557719,Macneal Foundation,3.0,T22,IL,ambiguous
Marianjoy Rehab Hosp,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Mercyhealth GME Consortium,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Mt Sinai Hosp Med Ctr,pslf_eligible_501c3,ProPublica match: Mt Sinai (501c3),450529118,Mt Sinai,3.0,,IL,pslf_friendly
Northwestern McGaw/Lurie Childrens,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Northwestern McGaw/NMH/VA,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Northwestern McGaw/SRAL,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Quincy Fam Prac Ctr,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
RFUMS/Chicago Medical School,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Riverside Medical Ctr,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Rush University Med Ctr,pslf_eligible_501c3,ProPublica match: Rush University Medical Center (501c3),362174823,Rush University Medical Center,3.0,E22,IL,pslf_friendly
Rush-Copley Mem Hosp,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
SIU Carbondale,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
SIU Decatur,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
SIU SOM & Affil Hosps,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Schwab Rehab Hosp,no_propublica_match,no ProPublica result,,,,,IL,ambiguous
Swedish Hospital,pslf_eligible_501c3,ProPublica match: Swedish Edmonds (501c3),272305304,Swedish Edmonds,3.0,E22,IL,ambiguous
UIC/Metro Group Hospitals,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
UIC/Mt Sinai Hosp Med Ctr,no_propublica_match,no ProPublica result,,,,,IL,pslf_friendly
Univ of Chicago Med Ctr,pslf_eligible_501c3,ProPublica match: University Of Chicago (501c3),362177139,University Of Chicago,3.0,B430,IL,pslf_friendly
Weiss Memorial Hospital,pslf_eligible_501c3,ProPublica match: Weiss Memorial Foundation Tr (501c3),137061011,Weiss Memorial Foundation Tr,3.0,A50I,IL,pslf_friendly
